Candidate ID: 0
Name: Bell Iglesiaz
Math grade: 10.0
Info grade: 7.25
Evaluator 1: 
Name: Leja Ryder
Subject: Math
Evaluator 2: 
Name: Yasemin Kelley
Subject: Info

Candidate ID: 1
Name: Niyah Portillo
Math grade: 9.1
Info grade: 8.7
Evaluator 1: 
Name: Leja Ryder
Subject: Math
Evaluator 2: 
Name: Yasemin Kelley
Subject: Info

Candidate ID: 2
Name: Talitha Bond
Math grade: 6.3
Info grade: 9.0
Evaluator 1: 
Name: Iwan Marks
Subject: Math
Evaluator 2: 
Name: Nate Brock
Subject: Info

Candidate ID: 3
Name: Jac Hewitt
Math grade: 9.0
Info grade: 7.0
Evaluator 1: 
Name: Leja Ryder
Subject: Math
Evaluator 2: 
Name: Nate Brock
Subject: Info

Candidate ID: 4
Name: Maisha Cotton
Math grade: 6.0
Info grade: 10.0
Evaluator 1: 
Name: Leja Ryder
Subject: Math
Evaluator 2: 
Name: Yasemin Kelley
Subject: Info

